표 1,,
품목,구분,배출방법
핫팩,종량제봉투,쓰레기 종량제 봉투로 배출
항아리,대형,대형폐기물로 처리
헝겊류,종량제봉투,종량제 봉투로 배출
헤드폰,가전제품,폐가전제품으로 배출
헬멧,"종량제봉투,재질별분리",분리하여 재질별로 분리배출 가능
형광등,전용함,전용수거함으로 배출
호일(사용 후),종량제봉투,쓰레기 종량제 봉투로 배출
화로,대형,대형폐기물로 배출
화분,"불연성,종량제,재질별분리",불연성폐기물로 배출 등 재질에 맞게 배출 
화장대,대형,대형폐기물로 배출
화장품냉장고,가전제품,폐가전제품으로 배출
후라이팬,고철,고철로배출
휴대용 플레이어(MP3 등),가전제품,폐가전제품으로 배출
휴대전화,가전제품,폐가전제품으로 배출 ※우체국 보상판매 이용 가능
화병,"불연성,종량제,재질별분리",불연성폐기물로 배출 등 재질에 맞게 배출 
충전식전지,전용함,전용수거함으로 배출
치킨박스,종이,기름에 오염된 내부 종이는 종량제봉투로 배출
치약용기,"플라스틱,재질별분리",플라스틱류 또는 재질에 맞게 배출
침구류,"종량제봉투,대형",종량제봉투에담을수없는 경우 대형폐기물로 처리
침대,대형,대형폐기물로 배출
칫솔,종량제봉투,쓰레기종량제 봉투로 배출 
카메라,가전제품,폐가전제품으로 배출
카펫,"종량제봉투,대형",종량제봉투에담을수없는 경우 대형폐기물로 처리
융단,"종량제봉투,대형",대형폐기물로 배출
캐비넷,대형,고철로배출
캔 따개,고철,플라스틱으로 배출
캡(플라스틱 뚜껑),플라스틱,종량제봉투에담을수없는 경우 대형폐기물로 처리
커튼,"종량제봉투,대형",폐가전제품으로 배출
커튼레일,"종량제봉투,대형",쓰레기종량제 봉투로 배출
커피메이커,가전제품,폐가전제품으로 배출
커피원두 찌꺼기,종량제봉투,대상 : 도자기·유리 컵
컴퓨터,가전제품,폐가전제품으로 배출
도자기·유리 컵,"불연성,종량제",종량제봉투에담을수없는 경우 대형폐기물로 처리
금속·비금속 컵 ,고철,대상 : 금속·비금속 컵
플라스틱 컵,플라스틱,  대상 : 플라스틱컵 
케찹용기,"플라스틱,재질별분리",내부를 헹구고 플라스틱 또는 재질에 맞는 분리수거함으로 배출 
코르크 따개(와인따개),"종량제봉투,재질별분리"," 수거원이 다치지 않도록 종이 등으로 감싸서 배출 , 재질에 맞게 해당 분리수거함으로 배출 "
코르크 마개,종량제봉투,쓰레기종량제 봉투로 배출
코팅된 종이,종량제봉투,쓰레기종량제 봉투로 배출
콘센트,종량제봉투,쓰레기종량제 봉투로 배출
콘텍트렌즈,종량제봉투,쓰레기종량제 봉투로 배출
쿠션,"종량제봉투,대형",종량제봉투에담을수없는 경우 대형폐기물로 처리
크레용,종량제봉투,쓰레기종량제 봉투로 배출
키보드(컴퓨터용),가전제품,폐가전제품으로 배출
타이어,전문시설,구입처와상담후배출
탁상달력,종이,종이류 배출방법을 참고하여 배출
탈수기,가전제품,폐가전제품으로 배출
텐트,"종량제봉투,대형",종량제봉투에담을수없는 경우 대형폐기물로 처리
텔레비전,가전제품,폐가전제품으로 배출
토스터기,가전제품,폐가전제품으로 배출
톱,고철,고철류로 배출
튀김기름,전용함,폐식용유 전용수거함 배출
틀니,종량제봉투,쓰레기종량제 봉투로 배출
티백(녹차 등),종량제봉투,쓰레기종량제 봉투로 배출
파인애플 껍질,종량제봉투,쓰레기종량제 봉투로 배출 
팩시밀리(팩스기기),가전제품,폐가전제품으로 배출 
페트병,플라스틱,플라스틱으로 배출 
"포스터,포장지",종이,종이류 배출방법을 참고하여 배출 
프린터,가전제품,폐가전제품으로 배출 
피아노,"대형,전문시설","대형폐기물로 처리하거나, 중고센터등과 상담하여 처리 "
피자박스,종이,기름에 오염된 내부 종이는 종량제봉투로 배출 
필름(사진용),종량제봉투,쓰레기종량제 봉투로 배출 
자석,종량제봉투,쓰레기종량제 봉투로 배출 
자전거,"대형,전문시설","대형폐기물로 처리하거나, 중고센터 등과 상담하여 처리 "
잡지,종이,종이류로 배출 
장난감류,"대형,재질별분리,종량제봉투",크기에 따라 대형폐기물 또는재질에맞게배출 (여러재질이 섞인 경우 종량제 봉투로 배출) 
장롱,대형,대형폐기물로 배출 
장식장,대형,대형폐기물로 배출 
장판,대형,대형폐기물로 배출 
재떨이,"불연성,종량제",대상 : 도자기·유리재떨이 
고철 재떨이,고철,대상:금속류재떨이 
전기장판,대형,대형폐기물로 배출 (전기이불담요 포함) 
전기밥솥,가전제품,폐가전제품으로 배출 
전기비데,가전제품,폐가전제품으로 배출 
전기오븐레인지,가전제품,폐가전제품으로 배출 
전기코드류,종량제봉투,쓰레기종량제 봉투로 배출 
전기포트,가전제품,폐가전제품으로 배출 
전기히터,가전제품,폐가전제품으로 배출 
전단지,종이,종이류로 배출 
전동칫솔,종량제봉투,쓰레기종량제 봉투로 배출 
전자레인지,가전제품,폐가전제품으로 배출 
전자사전,가전제품,폐가전제품으로 배출 
전자수첩,가전제품,폐가전제품으로 배출 
전자피아노,"종량제봉투,대형",종량제봉투에담을수없는 경우 대형폐기물로 처리 ※악기는 폐가전 제품 무상방문  수거 대상품목이 아님 
전지,전용함,전용수거함으로 배출
전축,가전제품,폐가전제품으로 배출 
전화기(팩스포함),가전제품,폐가전제품으로 배출 
전화번호부,종이,종이류로 배출
접착제(본드 등),종량제봉투,쓰레기종량제 봉투로 배출 
정수기,가전제품,대형가전으로 배출 
젖꼭지(아기용품),종량제봉투,쓰레기종량제 봉투로 배출 
젖병(아기용품),"플라스틱,재질별분리",젖병의 몸체와 윗부분의 젖꼭지는 분리하여 재질에 맞게 배출 
조각칼,종량제봉투,수거원이 다치지 않도록 종이 등으로 감싸서 배출 
종이기저귀,종량제봉투,쓰레기 종량제 봉투로 배출 
종이상자,종이,종이류로 배출 
종이심,종이,종이류로 배출 
종이조각,종이,종이류로 배출 
종이팩(우유팩 등),종이팩,내부에 알루미늄박이 붙어 있다면 종량제봉투로 배출 
프링글스통,종량제봉투,쓰레기종량제 봉투로 배출
주전자,고철,플라스틱 뚜껑 등은 돌려서 제거 후 배출
줄자,"종량제봉투,재질별분리",재질에맞게배출 또는 종량제 봉투로 배출
지우개,종량제봉투,쓰레기 종량제 봉투로 배출
진열대,"대형,재질별분리",대형폐기물 또는 재질에 맞게 배출
차 찌꺼기,종량제봉투,쓰레기종량제 봉투로 배출
찬장,대형,대형폐기물로 배출 
찻잔(도자기류),"불연성,종량제",불연성폐기물로 배출
책,종이,종이류로 배출
책상,대형,대형폐기물로 배출 
책장,대형,대형폐기물로 배출 
천체망원경,대형,대형폐기물로 배출
철사,고철,고철로 배출
철판(가정요리용),고철,고철로 배출
청소기,가전제품,폐가전제품으로 배출
체온계(디지털),종량제봉투,건전지는 분리하여 전용수거함으로 배출
체중계,"종량제봉투,대형",종량제봉투에담을수없는 경우 대형폐기물로 처리
축구공,종량제봉투,쓰레기종량제 봉투로 배출
자동차 부품,전문시설,"중고센터, 판매처 등과 상담하여 처리 "
자루걸레,대형,대형폐기물로 배출 
